original_commit	rewritten_commit
c959f39c55b044b6d708fc8bbb04d5c76934cce8	40f6d34b3b4ae0d616a1edd7070eddc9d0708d16
cc11df4f524082e14984b6e2ec50300ad469f13b	eabb42721322ae77d27dbf7bfbd64ff501476a0b
d0925e8d120ad024261174bb0f25cfac25caa7db	a1c1200b5f4a1057510dd8e487b6e0e76907b0f0
d0dabd36fcb6a078b13857773b21429b0bfc5bdc	5110ebbafc95865a1528ca21ba52300719d7c843
d1196ed82b6ddf11222b1ffa1bcc5a4488d243f1	d1196ed82b6ddf11222b1ffa1bcc5a4488d243f1
d1f8bae97b7ac0f3ef062988d5814a8c54d4e26f	0ab8832972d3ac5751950ea753ba6a5132958b3c
d2860e58c70ed935f6d1b26774ece8214cb68539	12586d4bb452d8e8ba0e5a98d43abb861faac991
d30fcb9aad1e91173b3e669ec37e4c6871d9ac0d	4cfec406acd50cd6dc07a2e5866b9fcb1e73a110
d3b8eda899208c315839694dd95b5c4681c1ae1c	eba25baec0120f3ffe8a18a938a505fe235720f5
d42e26a97ddd109675d2a29c4db806f2fe1840c2	49f9ea05408b11cb66c56c0051923d79c2816285
d4ee3553645095ae34e0d92904a9995800918632	f880c280403fcd63b49b6c64153356a501b19dc3
d562ea5032b13c3ed5aac58fc89dfaeaa9d2d91a	f1cdd1951a0c673cb4c7f48ee704b5251055234a
d864958bb595200cae9bb4b14064dcfcdef30b98	cecd81389a334c8dbcd8391b8c968531b86e9244
d8ff28f8a9c29df849e48309ece9541409fd5ef5	9496899ba2c42e7532d5b70e9493989d19876ce7
dae272c1990273bb5be1718c77b6e0b1f3bee2b7	3cbc017ee1228c7ecec4d28af0166b9e0ec118d4
db68e96fbfd00cf0061977fdad8434a4809dea84	e17bed1dd96dbae99a26d758e2fd2544c840a05f
dcb60c60ac8676a8a7e130954ce07f4bbf17e984	9681e58e7812dde9c373ce279e222679c8c37da2
dcf15a499c5737417015be125f3f961419d02c62	417e81483a2b9570d66b70cc38714fa6c99c4bb1
dd6f25b4c480d4db358e04e5ce2e65dea1ef3be8	3c69792421a4ff816dd29a2f228413a9ec600f5d
df7658f5eee9be403af5cf7f7fe4233a7540478a	4558fb8e415e7c9fb87c797a645d6f6f7274a4ed
e676d480fb3da16f59442f8838569225216706cc	a0b7d1f606bbb4519dfc7845f823ab094971c8fd
e9463b4fa10f0d542b078a1ec5fff5c5792c0016	5d81fb4cf0fe02b20f1c4304c9ef7aa8ee8cbdac
eccc11ad6956e728706502980999f6df7ee6141c	1d39a73c006e2e2b33a9b9b24b2cd376a7e9ac15
edc95d8e695205d1761b6578cb4e65af539196c1	cd8ce463f63aea22486cad6894746673a87d2061
ee1450d75d5118367ea13ce9ad6d5197a7335a14	7e533e01f36475444224b9e3de9cef84299514e3
f1518b8840e3892481ff5d96cc4df05c3cfea6bc	2f3fa63e787573fe1e190ca197045cd13d6251ce
f624d7e0b8a47b69fcd641fbbff2005ea68f8af2	f624d7e0b8a47b69fcd641fbbff2005ea68f8af2
f6dd002119f7f62831f7b00c029e3548229acd6f	3599446d43c97cd78b2b54eea452220c571b53c5
f88087da6c16b5a5668945abe517479b5ce36824	3455190c4f579f6874c69d0da8831341f48c3af8
f8d21c78c44be7995365c7d55db2b136a7a4ab34	2ad09c256290f2d2095a1b603a356a29ebaad9e9
fb9cbc2ca6e1b4ce2a2e1cc5b230a584e6fa18cc	4e7ee5b14e67a773a16b886aec6f52bbdd9c47f0
fcd5e09a98287a11250b6df6885a72fd8f89b58f	e03b137d3c8056c4b24322129400d3703ea84522
fced809e4e08bc1bb510cc559df6ecd1f2ab4cb0	579697f762d2015bfda54a71ccb4175597dd1308
fcff46e9477a8e9a35d830c989fbd5967e0d83bd	36aab93346709c4630d59f72bf4202178e9dcc2d
fdda96b55b1303ed4ea57f6f0103a1f943e8eb7c	2cc830d8dbe4468fcfb1c2c387098ffa989077e0
ffa7e7773312d8ec324e8ab224cdf1475a8de187	4825146ca3680bf3a72a8a3cab409fbac7a98d2c
